underlying,underlying_last, exchange,optionroot,optionext,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,impliedvol,delta,gamma,theta,vega,optionalias
SPX,1416.6,*,SPX070120C00800000,,call,01/20/2007,01/03/2007,800,0,615.6,617.6,0,0,0.0868,1,0,-42.7781,0,SPX070120C00800000
SPX,1416.6,*,SPX070120C00850000,,call,01/20/2007,01/03/2007,850,0,565.8,567.8,0,0,0.0868,1,0,-45.4517,0,SPX070120C00850000
SPX,1416.6,*,SXB070120C00900000,,call,01/20/2007,01/03/2007,900,0,515.9,517.9,0,0,0.0868,1,0,-48.1253,0,SXB070120C00900000
SPX,1416.6,*,SXB070120C00950000,,call,01/20/2007,01/03/2007,950,466.8,466,468,0,10,0.0868,1,0,-50.799,0,SXB070120C00950000
SPX,1416.6,*,SXB070120C00975000,,call,01/20/2007,01/03/2007,975,0,441,443,0,0,0.0868,1,0,-52.1358,0,SXB070120C00975000
SPX,1416.6,*,SPQ070120C01000000,,call,01/20/2007,01/03/2007,1000,0,416.1,418.1,0,0,0.0868,1,0,-53.4726,0,SPQ070120C01000000
SPX,1416.6,*,SPQ070120C01025000,,call,01/20/2007,01/03/2007,1025,0,391.2,393.2,0,0,0.0868,1,0,-54.8094,0,SPQ070120C01025000
SPX,1416.6,*,SPQ070120C01050000,,call,01/20/2007,01/03/2007,1050,368.5,366.2,368.2,0,40,0.0868,1,0,-56.1462,0,SPQ070120C01050000
SPX,1416.6,*,SPT070120C01100000,,call,01/20/2007,01/03/2007,1100,303.7,316.3,318.3,0,10,0.0868,1,0,-58.8198,0,SPT070120C01100000
SPX,1416.6,*,SPT070120C01125000,,call,01/20/2007,01/03/2007,1125,279,291.4,293.4,0,100,0.0868,1,0,-60.1567,0,SPT070120C01125000
SPX,1416.6,*,SPT070120C01130000,,call,01/20/2007,01/03/2007,1130,0,286.4,288.4,0,0,0.0868,1,0,-60.424,0,SPT070120C01130000
SPX,1416.6,*,SPT070120C01140000,,call,01/20/2007,01/03/2007,1140,0,276.4,278.4,0,0,0.0868,1,0,-60.9587,0,SPT070120C01140000
SPX,1416.6,*,SPT070120C01150000,,call,01/20/2007,01/03/2007,1150,267.6,266.4,268.5,0,114,0.0868,1,0,-61.4935,0,SPT070120C01150000
SPX,1416.6,*,SPT070120C01160000,,call,01/20/2007,01/03/2007,1160,0,256.5,258.5,0,0,0.0868,1,0,-62.0282,0,SPT070120C01160000
SPX,1416.6,*,SPT070120C01170000,,call,01/20/2007,01/03/2007,1170,0,246.5,248.5,0,0,0.0868,1,0,-62.5629,0,SPT070120C01170000
SPX,1416.6,*,SPT070120C01175000,,call,01/20/2007,01/03/2007,1175,242.3,241.5,243.5,0,103,0.0868,1,0,-62.8303,0,SPT070120C01175000
SPX,1416.6,*,SPT070120C01180000,,call,01/20/2007,01/03/2007,1180,0,236.5,238.5,0,0,0.0868,1,0,-63.0977,0,SPT070120C01180000
SPX,1416.6,*,SPT070120C01190000,,call,01/20/2007,01/03/2007,1190,0,226.6,228.6,0,0,0.0868,1,0,-63.6324,0,SPT070120C01190000
SPX,1416.6,*,SZP070120C01200000,,call,01/20/2007,01/03/2007,1200,216.5,216.6,218.6,0,20,0.0868,1,0,-64.1671,0,SZP070120C01200000
